range [25137,27202] : 104177726
range [14372,70014] : 779112732
range [81828,85371] : 176608435
range [47269,49727] : 121990459
range [47272,86757] : 973262346
range [88369,88887] : 26631105
range [85591,87873] : 112864053
range [41499,49166] : 382136525
range [17955,25294] : 364197022
range [79916,86204] : 317619450
range [56227,59457] : 159802031
range [49726,60933] : 559387143
range [37418,82559] : 257239095
range [83975,87066] : 155133951
range [2773,73342] : 523853442
range [68649,72707] : 204902930
range [57344,68977] : 582096485
range [5781,64143] : 913722275
range [77554,87641] : 504329784
range [31395,50007] : 927315479
range [5467,76454] : 544320673
range [46885,88150] : 61538017
range [25574,57867] : 610281763
range [11013,69698] : 928890077
range [84173,85525] : 68379552
range [6703,15303] : 431757552
range [55206,76202] : 48372783
range [45580,71727] : 305138652
range [68116,85476] : 868029978
range [55187,80956] : 288856186
range [81993,84850] : 141460691
range [46620,69381] : 135810404
range [2957,58841] : 787781731
range [71896,87428] : 776051568
range [71839,87029] : 758951839
range [16095,65324] : 456462214
range [41631,73592] : 596550776
range [8507,26334] : 889845186
range [83661,85190] : 77284167
range [53622,86872] : 663199651
range [46290,66737] : 20186015
range [46088,60353] : 708941490
range [51981,53212] : 62562633
range [15635,56999] : 62592298
range [8485,50124] : 77783097
range [62113,71226] : 458032753
range [1110,29061] : 396773914
range [6929,27700] : 37739311
range [36452,43757] : 366496250
range [38586,62247] : 182623995
range [40902,60731] : 988468825
range [8019,31151] : 157416200
range [76461,77847] : 71115546
range [77598,85525] : 397350058
range [50813,57160] : 317305304
range [37735,85731] : 401456367
range [72500,81638] : 456729218
range [13084,16149] : 154048087
range [40071,83549] : 172039117
range [33069,80359] : 362853278
range [5118,60585] : 768844678
range [36957,49178] : 610981206
range [42563,75401] : 638393149
range [72849,84448] : 578892389
range [58794,79933] : 57530470
range [23440,82842] : 969298038
range [34576,66595] : 600160325
range [75350,79439] : 204967125
range [39458,40610] : 56972450
range [6346,56866] : 522321885
range [82838,84005] : 57595706
range [19651,44342] : 232987203
range [47018,80442] : 670559845
range [45127,47138] : 98227992
range [80793,85956] : 260525732
range [77716,82353] : 233119627
range [89093,89167] : 3720463
range [34313,60814] : 321985882
range [28793,80722] : 593661661
range [51085,88165] : 855169306
range [57008,78051] : 52614639
range [22270,40851] : 927987491
range [71031,76175] : 252868023
range [3857,42611] : 936262065
range [53137,65761] : 631680674
range [15022,24158] : 455847013
range [47379,89259] : 94068463
range [8067,43778] : 784797901
range [9180,68787] : 975428835
range [81326,87702] : 317928827
range [6458,75515] : 448462336
range [23005,43839] : 42058601
range [12862,85752] : 641866952
range [81649,83629] : 97804494
range [65472,86485] : 51627607
range [28620,37174] : 425480500
range [42258,86938] : 233315429
range [80925,84218] : 164924734
range [30064,47516] : 871326653
range [53748,84971] : 561635064
range [41201,64117] : 142794425
range [85665,87279] : 79666599
range [68646,70969] : 119074234
range [69016,84658] : 782460686
range [63916,70389] : 325855762
range [88704,88925] : 11267920
range [13856,46833] : 645320740
range [62916,66396] : 173512552
range [65732,66531] : 39924702
range [80473,80538] : 3668492
range [30814,49381] : 925021580
range [41168,44072] : 146569593
range [8070,54421] : 313194912
range [6515,62064] : 774617157
range [28043,51397] : 164100600
range [69831,85591] : 788182277
range [4575,38074] : 671622451
range [34160,50120] : 795123252
range [48744,82253] : 676467844
range [54861,68157] : 665501981
range [41365,83321] : 96673854
range [52701,77810] : 255834747
range [61430,64693] : 162764142
range [39747,86669] : 344110348
range [68669,69296] : 32401682
range [16735,30368] : 679410402
range [14728,20827] : 305226868
range [58560,73360] : 741572264
range [62430,76350] : 693553072
range [75053,77692] : 132823863
range [31635,81609] : 497909653
range [24918,65114] : 7709833
range [79301,81906] : 132156634
range [19950,35531] : 776396193
range [59652,86938] : 366926205
range [72952,82542] : 479095686
range [12599,46194] : 677959569
range [81075,81687] : 31112745
range [87806,88777] : 49867862
range [74333,82583] : 414377833
range [74397,84165] : 489517662
range [48583,79578] : 548725639
range [10834,71777] : 43185619
range [6929,48835] : 92485543
range [74905,84020] : 456885584
range [2744,6177] : 169212383
range [26729,64258] : 872598152
range [80441,80729] : 14466401
range [13456,61720] : 408716213
range [38452,85453] : 350108903
range [77348,82220] : 244979713
range [68720,83559] : 742183961
range [64974,85719] : 39351518
range [10958,66638] : 778872409
range [26441,62435] : 798350154
range [1324,22395] : 51343465
range [56278,68420] : 607027313
range [19909,80517] : 26285671
range [19342,69401] : 498489489
range [36342,89142] : 639085797
range [53055,71331] : 916621919
range [14650,24965] : 514182495
range [54853,83242] : 420194280
range [66144,79986] : 691051056
range [55787,72714] : 848321614
range [84483,85744] : 64288808
range [2691,55998] : 660230360
range [56649,57389] : 37293315
range [47350,48401] : 51874648
range [72207,82908] : 534668244
range [62993,82223] : 961760578
range [35278,57949] : 130672987
range [13096,18413] : 267058824
range [73122,88249] : 755396586
range [39302,76774] : 871105600
range [77363,79909] : 126454085
range [14654,27513] : 641290349
range [34769,45574] : 542286186
range [31613,74617] : 147001945
range [89057,89203] : 7363501
range [11543,15323] : 189480635
range [71079,83597] : 622966842
range [2228,23782] : 75299633
range [9493,15105] : 280715656
range [11377,78769] : 364089585
range [39964,83943] : 196642165
range [15419,64741] : 460615577
range [68012,76689] : 432670734
range [59048,76548] : 875556005
range [88975,89055] : 3993775
range [15034,44782] : 485839843
range [63904,68083] : 209556312
range [23154,74202] : 550365636
range [68482,86158] : 886793940
range [55952,75154] : 959868186
range [18473,28754] : 512398737
range [66595,74676] : 402875099
range [52206,81759] : 479073246
range [3989,15189] : 561151542
range [77912,81956] : 203738365
range [7519,73587] : 301630150
range [53366,83326] : 498364360
range [47363,72022] : 232814137
range [10309,23877] : 675983664
range [53590,78287] : 234571370
range [14651,52357] : 880515583
range [59224,60438] : 61512688
range [43288,67235] : 195866473
range [63351,85494] : 107330978
range [36847,65982] : 456707659
range [71032,86044] : 750284545
range [82932,83636] : 34519569
range [65537,88342] : 140693376
range [84954,85640] : 35846115
range [73826,78942] : 254821807
range [6770,72018] : 261164349
range [23886,24594] : 34813437
range [34980,38309] : 164992453
range [55085,80643] : 278979728
range [29347,74250] : 240375538
range [31685,87271] : 777546477
range [60211,81542] : 69189664
range [36159,69411] : 660539046
range [50302,87664] : 868875526
range [31623,86861] : 760363961
range [61635,65328] : 185289605
range [17122,67284] : 504177744
range [76949,82706] : 288998828
range [21015,33478] : 622177511
range [8906,15889] : 350045737
range [72614,74524] : 94335154
range [43417,54142] : 532897451
range [45163,77041] : 590121068
range [7325,12135] : 242951776
range [23663,41189] : 875932769
range [66442,77748] : 565468669
range [7609,35970] : 417985870
range [24071,65519] : 68563665
range [64054,77282] : 661943099
range [48601,79654] : 551929036
range [34088,65133] : 549614212
range [11722,74803] : 148954846
range [72866,75672] : 136435265
range [26873,28481] : 80942418
range [71153,82239] : 553153162
range [9684,21667] : 597716716
range [81873,85276] : 169947400
range [72982,76417] : 168348136
range [41401,78730] : 863663808
range [83156,88057] : 245414193
range [40571,43474] : 147066203
range [6635,82799] : 805637198
range [18749,30936] : 608903570
range [16864,30978] : 704653884
range [35067,49977] : 744162842
range [5005,50514] : 271492035
range [69684,88983] : 965865124
range [49781,57416] : 380602803
range [2864,17365] : 725311149
range [38462,86976] : 426600523
range [5145,20746] : 780505365
range [39303,45857] : 329598433
range [28112,57215] : 451994626
range [54008,74005] : 999428180
range [56170,60189] : 199251193
range [44744,47530] : 138424409
range [18297,39348] : 48332845
range [68233,84137] : 795402679
range [75836,79953] : 207593286
range [18769,29092] : 516430488
range [74578,81991] : 373003829
range [14281,41635] : 365933160
range [41391,69958] : 427918556
range [41132,43237] : 105636142
range [80091,86749] : 334276626
range [84837,87755] : 145837942
range [16998,26095] : 451931635
range [48011,58551] : 525160968
range [5188,85690] : 23807000
range [57427,67386] : 500112258
range [52495,60011] : 374897804
range [72068,78989] : 343648870
range [7164,34819] : 381773739
range [87539,89015] : 75232194
range [38103,56744] : 931278418
range [274,57012] : 831610187
range [22472,28407] : 297077986
range [85645,88990] : 167313304
range [69920,74193] : 211887967
range [80515,85884] : 269811195
range [51103,79736] : 431901846
range [75081,85326] : 513381315
range [81670,83415] : 86032680
range [61653,77510] : 793210953
range [44111,45361] : 62671598
range [48585,72374] : 190415245
range [18789,35741] : 845510730
range [58191,59856] : 84251675
range [73302,83376] : 503234604
range [26709,78441] : 584001647
range [72722,86981] : 712436917
range [25032,28506] : 174402766
range [77063,77567] : 25669309
range [29858,57163] : 361376449
range [77767,85281] : 376574552
range [68676,83191] : 726493782
range [30108,50373] : 9219933
range [2409,82966] : 24045378
range [12543,39692] : 354910080
range [84899,88266] : 168609011
range [50977,68540] : 878009271
range [85076,87933] : 143063079
range [70622,82981] : 617043638
range [27947,39411] : 572638138
range [31669,60131] : 419652190
range [68991,72631] : 183479937
range [51765,75435] : 182922298
range [23342,80627] : 863549947
range [22882,30356] : 374247097
range [192,78623] : 915744715
range [19916,77392] : 869029158
range [81511,84269] : 136830487
range [21929,43601] : 83535719
range [30211,47846] : 879732786
range [64858,82837] : 899806523
range [41493,44310] : 142751028
range [76742,77151] : 20371695
range [48359,61633] : 663007638
range [60182,79667] : 975119865
range [84941,85313] : 18979475
range [43083,86518] : 170386372
range [86735,87126] : 19539701
range [31093,46129] : 751037427
range [3324,47596] : 212144888
range [62724,75210] : 622560589
range [43694,79666] : 795433618
range [49691,51888] : 108542980
range [44829,79075] : 708745110
range [86260,88965] : 134935787
range [60059,83936] : 195044014
range [17608,71696] : 701005611
range [55678,67526] : 594298430
range [82433,82934] : 24677015
range [72076,76143] : 199858214
range [5007,31657] : 331793939
range [3930,7696] : 187436343
range [76636,82717] : 305540872
range [76551,86440] : 496991144
range [87190,88560] : 69218758
range [28453,47742] : 962655180
range [22608,69746] : 355767873
range [56009,70903] : 747699252
range [21107,54781] : 679654622
range [51438,51905] : 23452134
range [67952,77204] : 461505790
range [1855,31318] : 472046219
range [51143,66333] : 760719923
range [854,72977] : 603165617
range [86080,88738] : 132054549
range [11525,65303] : 685697806
range [78515,86010] : 377360501
range [82720,83140] : 20767724
range [26280,38568] : 612523593
range [73028,80841] : 389197255
range [85566,86796] : 61357145
range [87131,89276] : 108482303
range [23408,43302] : 996000774
range [39790,69163] : 466889682
range [35834,48962] : 654549786
range [43893,46079] : 109640848
range [46028,87834] : 87299921
range [14480,15197] : 36922009
range [45024,77966] : 644096750
range [82041,84749] : 133349306
range [76146,76633] : 25848473
range [59836,85497] : 284408827
range [558,31715] : 555483730
range [14323,25318] : 548839337
range [86918,87897] : 48345517
range [16892,78541] : 77327699
range [83187,84532] : 67415819
range [64631,73384] : 438503019
range [76966,83487] : 326021799
range [77205,78066] : 43559767
range [50256,54936] : 234606017
range [15272,68904] : 677121315
range [42955,85161] : 108188242
range [69510,78814] : 464097493
range [9107,30961] : 93472143
range [33555,61911] : 416107252
range [60616,89230] : 433180462
range [6302,82324] : 800466254
range [87190,89213] : 102348332
range [15421,77048] : 76909726
range [2625,57819] : 754534625
range [87760,88328] : 28731318
range [13543,60972] : 367120078
range [76459,87355] : 547196582
range [18034,65424] : 365141786
range [30006,70928] : 45835887
range [30694,58749] : 397542778
range [76198,77480] : 65803241
range [24211,73715] : 472194376
range [71182,83076] : 593136789
range [21220,33872] : 632190063
range [78268,85738] : 375628980
range [23541,78834] : 762543830
range [65228,70407] : 260333243
range [35924,50971] : 749928838
range [56280,70429] : 709742653
range [81068,87839] : 338574135
range [56130,64800] : 433277373
range [55476,87012] : 578134484
range [75957,82318] : 321400100
range [78995,84899] : 296331428
range [74770,82561] : 391113043
range [32923,74693] : 87221910
range [25936,89261] : 166308875
range [9920,55146] : 256823244
range [26136,73683] : 375546023
range [20853,55265] : 716716657
range [61597,80706] : 956367393
range [44417,59726] : 761570483
range [84286,89118] : 243562343
range [10472,34214] : 184613182
range [17750,59698] : 91243918
range [7683,48905] : 59572655
range [69071,79427] : 516926715
range [39386,85871] : 325115606
range [67696,76108] : 417391908
range [10809,34378] : 176164591
range [20138,41108] : 46183311
range [23769,71133] : 368473015
range [57444,63746] : 315386230
range [70721,74810] : 201579097
range [19007,44719] : 284652007
range [3416,26659] : 161247084
range [26525,74935] : 417605050
range [16243,29007] : 638039123
range [48325,67651] : 966802534
range [13935,89253] : 764039416
range [48108,57996] : 491954970
range [36491,65298] : 439822610
range [89318,89370] : 2442874
range [16619,25866] : 460047714
range [2133,85373] : 158114521
range [40401,42845] : 123813204
range [60518,65946] : 272276436
range [4482,81407] : 844757979
range [11488,61337] : 488465958
range [76799,87563] : 538874200
range [84333,85925] : 81487069
range [64483,72843] : 420452972
range [10176,46855] : 831220845
range [73228,83096] : 493658487
range [37713,62366] : 233886916
range [86411,87473] : 52175611
range [152,13315] : 658041857
range [26848,62695] : 791209545
range [38920,43832] : 247694234
range [79527,83287] : 189882182
range [26454,53306] : 340829304
range [18997,36774] : 885967480
range [66936,77834] : 544276960
range [72895,82936] : 501013361
range [56630,74089] : 873797329
range [31804,76202] : 216715132
range [18980,29110] : 506875161
range [51356,74011] : 133336585
range [35921,70876] : 748637070
range [76300,80885] : 231068628
range [31553,35238] : 183017172
range [10510,51102] : 24480208
range [86468,87228] : 37123721
range [82089,84163] : 102225402
range [68500,71988] : 176603456
range [44979,47252] : 111539342
range [52655,73222] : 29660984
range [21275,28728] : 372827450
range [50623,86827] : 812051707
range [25110,70346] : 261852917
range [70783,86183] : 769947193
range [85292,85329] : 1627102
range [88987,89098] : 5567148
range [15606,79810] : 205266562
range [52979,72011] : 953333585
range [78611,82925] : 217490703
range [46734,61825] : 753893542
range [48398,77117] : 435127553
range [88793,89247] : 22800742
range [75750,85269] : 478578388
range [83503,85870] : 120390119
range [82591,89237] : 333221815
range [14717,76227] : 70939020
range [35898,76488] : 26432444
range [81859,88787] : 347233039
range [25440,71830] : 319192106
range [19944,39795] : 990213639
range [50360,52521] : 108808248
range [73794,80830] : 352386320
range [84419,86797] : 119189012
range [72305,86470] : 708569441
range [24184,62572] : 917483980
range [84650,89122] : 225253914
range [15844,51665] : 785892374
range [43463,71373] : 395276373
range [84348,87875] : 176437669
range [19503,35219] : 782134733
range [69606,84269] : 732706520
range [85701,88283] : 127512169
range [74641,84963] : 517280399
range [14990,77043] : 99502115
range [60402,77272] : 844670520
range [45268,59343] : 699457355
range [70569,84218] : 681085554
range [34931,52712] : 887920809
range [69550,78408] : 442179671
range [76959,78371] : 70469689
range [882,18702] : 890142677
range [1438,56621] : 754507189
range [64537,79784] : 762083163
range [62712,80923] : 910199728
range [9350,47363] : 898065054
range [212,75707] : 768675864
range [43209,49185] : 297387204
range [16013,53146] : 852393955
range [82648,84035] : 68837530
range [33464,37032] : 176157649
range [19551,46579] : 348731472
range [57206,66707] : 476069069
range [27085,61765] : 733132997
range [84702,84764] : 3043511
range [29173,29431] : 12574887
range [86080,87332] : 61117382
range [56822,68672] : 593105108
range [20965,54807] : 688564980
range [6306,81621] : 766037093
range [9993,45526] : 776015139
range [13387,48964] : 775204849
range [63090,74720] : 580561212
range [13941,66650] : 632625254
range [76952,88791] : 594018199
range [34408,50472] : 801183805
range [60700,64668] : 198949108
range [66654,78994] : 615542356
range [62432,69349] : 345672689
range [74515,88994] : 725909826
range [37590,81131] : 178714228
range [73042,77074] : 199473276
range [63515,74650] : 556174692
range [17157,25821] : 430567425
range [33581,57938] : 214415616
range [18314,26223] : 392408361
range [528,48400] : 390047254
range [66303,88790] : 125863399
range [60643,74947] : 714914801
range [72187,82665] : 523642973
range [39695,65698] : 299164115
range [26361,34849] : 423398733
range [54427,62199] : 389682719
range [71688,84700] : 649112714
range [14888,37566] : 130654116
range [73954,81989] : 403649772
range [42667,48003] : 266112589
range [85200,87254] : 102849609
range [24717,26634] : 95862544
range [52200,81562] : 470234145
range [86852,88241] : 69164112
range [55727,67207] : 575984262
range [64013,83844] : 992077390
range [40330,84445] : 205793951
range [11877,26940] : 751371023
range [48572,78192] : 480738585
range [64822,84854] : 1876712
range [56913,64667] : 388429506
range [5896,22544] : 833246745
range [40871,75091] : 708974052
range [6226,52768] : 326135684
range [14552,66330] : 586697593
range [38599,53152] : 727548645
range [65587,88226] : 132375597
range [59997,63553] : 178934825
range [11578,40837] : 461368235
range [86389,88550] : 107563006
range [6021,41118] : 755097052
range [5330,41216] : 794214580
range [36953,38856] : 95152035
range [75556,76766] : 62036552
range [64109,66551] : 122946614
range [76266,79787] : 177038695
range [18828,25568] : 335617139
range [15357,18755] : 169729910
range [8305,43242] : 747062963
range [88211,88989] : 39901754
range [16310,87674] : 564223615
range [79286,80103] : 40613468
range [47081,85985] : 946839792
range [71855,74505] : 131122895
range [47581,76997] : 468827887
range [75220,77916] : 136037303
range [69102,80945] : 592210817
range [52323,68611] : 814695265
range [36480,64451] : 396677259
range [22896,29193] : 316668551
range [69115,89219] : 6986560
range [80412,81515] : 56069953
range [38538,83453] : 246025369
range [39867,86975] : 355235496
range [79513,84981] : 274675133
range [55302,55892] : 29006655
range [85346,85915] : 30176112
range [39283,66191] : 344672960
range [71136,81450] : 514644010
range [6274,76813] : 525537461
range [62490,71754] : 463788191
range [85638,87680] : 100311165
range [65620,74623] : 449466624
range [84144,84458] : 16358555
range [52476,65190] : 636137182
range [950,2123] : 58628573
range [83134,88834] : 286276505
range [38305,87727] : 472207973
range [43833,58497] : 730002699
range [37776,50632] : 642814261
range [87060,88829] : 89519227
range [8355,28479] : 6479045
range [1544,70276] : 434174746
range [33661,73959] : 12165592
range [13052,68848] : 786487704
range [42413,62558] : 7227513
range [46815,79334] : 624723406
range [50022,76909] : 344556173
range [62234,62654] : 21763281
range [34906,48029] : 656645519
range [66668,85630] : 949607918
range [33993,88637] : 731280583
range [83583,84922] : 67311710
range [12150,42321] : 505939858
range [9070,38915] : 489962136
range [21961,57518] : 775538536
range [13271,20313] : 352347212
range [9216,19256] : 503260443
range [53345,88824] : 776127962
range [56887,70394] : 677796555
range [39974,39986] : 652744
range [81754,83840] : 103332838
range [69158,87207] : 902837077
range [87387,87810] : 20896831
range [47023,63931] : 844444706
range [73586,84582] : 550163461
range [28185,73743] : 275003385
range [38277,79290] : 50962833
range [14761,18145] : 171281259
range [14918,42680] : 386824177
range [69333,71571] : 113620271
range [36034,50362] : 713528265
range [1119,34313] : 658006380
range [49342,65690] : 817091901
range [10784,52668] : 89921277
range [44481,67472] : 148179606
range [82163,87249] : 254045489
range [78735,84026] : 265931330
range [24987,62110] : 854770514
range [34301,84665] : 516551709
range [54746,56174] : 72255057
range [52024,80844] : 442324760
range [5669,70161] : 224015737
range [62391,63110] : 36039240
range [80098,84489] : 221118651
range [86974,87455] : 23678900
range [55199,79222] : 201621457
range [32581,39699] : 356893405
range [57327,88767] : 574398507
range [42476,86932] : 222601327
range [17497,62948] : 269101360
range [10087,21636] : 576497920
range [43175,66230] : 151013459
range [84831,87255] : 121852009
range [48646,58404] : 486189161
range [16202,78968] : 133169487
range [41213,66702] : 273448533
range [57117,69399] : 614885323
range [31540,68953] : 868337832
range [80422,82735] : 116408057
range [30945,49137] : 906536869
range [73521,88591] : 754511615
range [12223,64660] : 617979270
range [88906,89353] : 22348232
range [77757,81838] : 205243856
range [11493,45160] : 682459731
range [41915,48215] : 313750651
range [67737,85558] : 891131730
range [54784,87937] : 658825374
range [42431,61526] : 953017308
range [3753,24297] : 27638876
range [55578,62635] : 354088281
range [47654,71069] : 171891361
range [80433,85681] : 263908345
range [30112,88652] : 926375080
range [5686,15394] : 487444960
range [11146,57241] : 300468168
range [63651,67197] : 179063665
range [39367,77856] : 923800141
range [26560,51036] : 221378140
range [44928,74838] : 492129481
range [42879,56787] : 692588406
range [57028,85295] : 414196656
range [31309,85999] : 734121303
range [74107,75871] : 86380664
range [20207,20863] : 32326748
range [43618,64793] : 56190971
range [75131,87970] : 643197916
range [30320,31521] : 59925712
range [4436,10559] : 307726437
range [34516,57831] : 163467538
range [15017,36916] : 91849774
range [33940,68340] : 717208468
range [5535,50662] : 254079214
range [22657,32801] : 505253835
range [63246,86564] : 166122211
range [88397,88652] : 13060587
range [36359,50927] : 726480222
range [60597,62438] : 93254781
range [61483,85112] : 182078049
range [34985,81673] : 335084411
range [48859,59141] : 512621614
range [65916,72077] : 309614666
range [66557,69343] : 139756404
range [67724,77834] : 504628449
range [5201,31044] : 293072633
range [62898,67370] : 224508579
range [79786,80126] : 17682433
range [61403,82977] : 79789943
range [17650,50997] : 662260341
range [23456,46706] : 163131619
range [30689,62326] : 578816032
range [69564,71709] : 108169472
range [9139,88058] : 944435666
range [20210,44454] : 211273525
range [3225,59513] : 810070815
range [32097,46133] : 703892998
range [70127,72256] : 106434924
range [43893,58857] : 744522606
range [59931,75951] : 799497234
range [37044,57024] : 998856278
range [33018,80887] : 393250769
range [65456,77125] : 582921786
range [58,5648] : 277342954
range [67134,80300] : 657280365
range [44868,54950] : 501604124
range [18839,74220] : 765227828
range [78095,83880] : 289370275
range [8171,35350] : 358318892
range [47231,54259] : 349375870
range [87436,88894] : 73877250
range [54572,72948] : 921171673
range [81085,88656] : 379213695
range [64753,71486] : 339280571
range [65136,77044] : 595109439
range [10535,83221] : 630749504
range [23279,68573] : 263294460
range [11303,56560] : 258985266
range [75046,83163] : 407548493
range [53702,78598] : 243920915
range [65648,74311] : 432359402
range [58213,64230] : 301934273
range [19138,52759] : 676692473
range [71892,77724] : 290478408
range [27876,68908] : 49877196
range [26369,87621] : 61165127
range [24582,72631] : 401991728
range [37694,50110] : 621081948
range [50098,76227] : 304760957
range [709,34500] : 686116774
range [3292,41873] : 928185974
range [41432,82001] : 28823263
range [80385,87149] : 338565712
range [78568,79058] : 24356067
range [53885,81778] : 395449620
range [46925,75391] : 420384794
range [56871,64654] : 389756644
range [22700,63447] : 36182633
range [54447,81541] : 357120117
range [5945,35850] : 495897618
range [81126,83362] : 111152483
range [64024,83184] : 959114972
range [49817,56177] : 317496659
range [10046,25425] : 766725008
range [25967,87431] : 72292590
range [4019,67435] : 170085943
range [45025,78918] : 690657396
range [8423,39047] : 530027326
range [62462,81244] : 939792459
range [77075,82264] : 261221713
range [57587,77099] : 975331726
range [74258,83261] : 451747886
range [48985,88367] : 969814145
range [77714,83690] : 298950025
range [62261,81359] : 956226334
range [26016,69845] : 190781086
range [40018,44779] : 239259354
range [17361,57958] : 24377098
range [16295,16591] : 15173304
range [30430,61619] : 556312294
range [1191,47038] : 289390629
range [39424,56491] : 851571013
range [57173,62175] : 250400410
range [24616,31606] : 349393529
range [53962,66445] : 623480420
range [81020,84168] : 156983640
range [60431,66202] : 289876920
range [82830,85927] : 156076250
range [66994,87609] : 30090296
range [69234,74878] : 280986430
range [25479,39464] : 698918359
range [49347,68375] : 950368236
range [53583,84416] : 542437674
range [56071,65877] : 490258067
range [27760,60821] : 650371655
range [44542,84527] : 997180509
range [18013,41435] : 167960213
range [49334,69880] : 27725441
range [83359,83701] : 17012725
range [5776,61726] : 795746177
range [64294,64609] : 16542471
range [54319,76195] : 92735610
range [47110,85621] : 926663943
range [79808,88532] : 438405142
range [67390,78654] : 560617404
range [31747,64320] : 626015187
range [53962,72065] : 906269744
range [43822,75068] : 559394324
range [34315,52470] : 905833287
range [48597,81340] : 638088684
range [77890,86510] : 432185130
range [56099,85709] : 482349820
range [33001,83191] : 509293224
range [27125,45497] : 920396912
range [30637,78546] : 390906740
range [20667,83749] : 150812814
range [58896,74095] : 761277182
range [63360,83789] : 20951286
range [82953,86066] : 157173401
range [81751,83573] : 90087061
range [19541,70523] : 545562483
range [75153,75884] : 34764127
range [60269,79666] : 970809585
range [84805,84853] : 2549493
range [42987,44320] : 67548871
range [51767,67238] : 775977149
range [9597,36340] : 335873741
range [66919,85634] : 936673433
range [11195,56056] : 238861078
range [59402,79124] : 987040575
range [28863,45991] : 856235718
range [88335,88853] : 27232794
range [64100,64327] : 11203620
range [40079,58862] : 936199526
range [33547,64303] : 534544104
range [30793,47879] : 851913943
range [78551,79366] : 41357418
range [82865,85119] : 112074129
range [20285,46663] : 316973656
range [58291,77896] : 982271369
range [85035,89082] : 204312881
range [76526,87040] : 527468375
range [12941,26573] : 680919727
range [87580,88958] : 70618039
range [17298,77879] : 24688668
range [60112,84013] : 196867472
range [57303,88373] : 554805608
range [5926,56432] : 522849224
range [4782,58612] : 687855163
range [31706,52916] : 58476385
range [65234,87648] : 120146648
range [2947,20254] : 866008266
range [7796,34736] : 345985363
range [9793,33875] : 202865361
range [36620,60470] : 190184493
range [44395,62342] : 894847202
range [69610,87229] : 881103366
range [65430,66519] : 54383503
range [31940,70760] : 941549111
range [35708,76975] : 61015493
range [67415,85648] : 912123610
range [51886,87672] : 789739737
range [26872,46928] : 1988148
range [22774,37109] : 715067256
range [86676,89000] : 117548611
range [16678,23049] : 315740071
range [4520,39295] : 737404590
range [68011,87971] : 997858793
range [85336,88771] : 173147800
range [14670,19824] : 258586479
range [14840,30736] : 795337810
range [89004,89256] : 12676115
range [71122,76399] : 259700977
range [34125,89378] : 761693153
range [68824,86947] : 907727971
range [25815,45019] : 961178464
range [25270,76654] : 566315879
range [84299,88438] : 207868652
range [2466,5103] : 130858012
range [12809,41517] : 433377721
range [67849,83757] : 794743037
range [81254,84854] : 179135165
range [67734,77430] : 483276208
range [78773,85734] : 351171714
range [10542,22529] : 597182237
range [25418,40613] : 758699164
range [68981,87011] : 903056516
range [49204,66801] : 879598019
range [33126,80010] : 341766759
range [2821,71708] : 441665355
range [37893,51281] : 668753574
range [42876,60567] : 881322226
range [11125,22881] : 585729841
range [10660,48204] : 873185996
range [24479,40104] : 779911267
range [17564,34770] : 856768669
range [55293,84145] : 442939371
range [7233,65158] : 894802039
range [82077,82635] : 27616793
range [26578,76409] : 486697474
range [15124,49098] : 695691139
range [8783,16136] : 369414028
range [78869,84112] : 263709411
range [26135,43862] : 886316300
range [9427,23330] : 692655647
range [68233,81271] : 653543684
range [75171,79983] : 241084157
range [50879,51768] : 43784856
range [68430,69266] : 42602810
range [55523,72721] : 861454271
range [54851,70399] : 779015150
range [29391,59524] : 501131658
range [75932,87562] : 584430178
range [35886,38298] : 117999997
range [46753,76262] : 471196678
range [58315,72433] : 709005929
range [6712,67615] : 43654333
range [28726,36965] : 409564935
range [27841,39848] : 600112373
range [44624,74690] : 499283513
range [3613,54304] : 530123921
range [53325,68605] : 762955322
range [67766,89373] : 80670984
range [58711,61445] : 137684355
range [5575,25687] : 5623539
range [73519,74805] : 62954234
range [40934,87372] : 319691361
range [16639,72813] : 805359996
range [40243,47406] : 358596921
range [12780,21070] : 414652652
range [35530,81159] : 279816588
range [88984,89004] : 1020607
range [59879,71859] : 601034206
range [68121,85502] : 869108534
range [66417,75758] : 464888699
range [53999,83996] : 499578983
range [32432,40682] : 412167861
range [22105,61439] : 963144300
range [34449,86574] : 604817493
range [20091,45477] : 268655071
range [64007,70168] : 309446147
range [4875,69027] : 204150638
range [64642,70836] : 312300881
range [65266,80541] : 764263174
range [30986,36092] : 254086421
range [6256,73884] : 379030535
range [58582,83447] : 244196802
range [59702,84927] : 262546976
range [3083,45218] : 106043701
range [475,88968] : 421320563
range [87032,87719] : 33798539
range [45633,82881] : 859767519
range [71553,87544] : 797515322
range [78665,85123] : 324624454
range [66308,82323] : 801496093
range [31450,33990] : 127281674
range [7566,23766] : 811036851
range [5400,34644] : 461037726
range [14287,56174] : 91406468
range [31147,59486] : 411406392
range [55149,58371] : 159574696
range [46800,60390] : 676675690
range [38581,82231] : 183312888
range [40806,73637] : 639699843
range [71473,88740] : 862841167
range [6794,45143] : 919050449
range [62754,73052] : 515327556
range [51100,75725] : 228955248
range [26085,34691] : 428813869
range [86553,88889] : 117656883
range [85185,87936] : 137089812
range [17660,20186] : 125825508
range [70032,75063] : 249508427
range [86363,87644] : 62066665
range [86203,86730] : 24674220
range [31657,75533] : 189454418
